Claim ID,Claimant Name,Claimant Address,Claimant Phone,Claimant Email,Policy Number,Policy Type,Policyholder Name,Policyholder Contact,Date of Loss,Location of Loss,Description of Loss,Claim Amount,Police Report,Medical Records,Photographs or Evidence,Witness Information,Adjuster Notes,Claim Status,Payment Information,Inconsistencies,Previous Claims,Suspicious Behavior,Patterns of Fraud,Investigation Results,Claim Outcome,Investigation Outcome,Additional Comments
5665,Armaan Chauhan,"H.No. 939, Mammen Zila, Asansol 374446",5161043334,emirbose@example.org,42652,Health,Miraan Ravel,736850896,1999-05-10,Saharanpur,Minus sunt veritatis natus. Mollitia iusto recusandae repudiandae. Incidunt soluta cumque inventore.,10003.84,7212,Qui numquam iusto iusto consequatur eum hic. Quisquam dicta quisquam voluptatem autem tempora.,,Samiha Sharaf,Nulla sequi perspiciatis. Consequuntur maxime voluptas explicabo iste quibusdam quis.,Denied,6919.36,Yes,None,Yes,No,,Denied,No Fraud Detected,Totam repellendus voluptates qui aliquam id. Quis numquam sapiente dolorum nemo quos autem.
2174,Gokul Soni,"524, Raju Circle, Navi Mumbai 013651",+913475441712,wravi@example.org,11969,Home,Nehmat Venkataraman,+916672323018,1961-12-19,Pondicherry,Odio sunt maiores sit. Architecto numquam exercitationem quia repudiandae sunt autem itaque. Cum quos repudiandae quos fuga optio maiores nostrum.,48024.24,8374,,,Kiara Saran,Ullam debitis eum laboriosam. Reiciendis odio nemo nulla dolores.,Denied,,,2,,,"Praesentium velit doloremque. Autem repellendus voluptatum omnis laboriosam voluptatem.
Adipisci quos voluptatibus quae incidunt voluptatum. Quidem commodi possimus reprehenderit soluta.",Under Review,Fraud Detected,"Nihil eos eaque et eius magnam necessitatibus numquam. Aperiam consequuntur qui quis.
Eius reiciendis voluptate repellendus. Consectetur quis explicabo ex similique."
1553,Aarush Dara,"H.No. 38, Shroff Zila, Bhatpara 896701",5319679871,ladryan@example.net,45503,Auto,Kavya De,312809978,1969-01-06,Bhind,Sunt eligendi sed voluptatem dolorum velit et. Nostrum dolore facere laborum laborum totam illo. Asperiores veritatis culpa sit eligendi nihil asperiores.,43753.5,2927,,http://www.banerjee.org/,Vritika Lanka,Molestiae dolor nesciunt quisquam quos ipsam. Nihil ut numquam quasi.,Approved,,No,None,Yes,,Tempora incidunt provident tempora natus. Beatae nostrum laborum aspernatur.,Under Review,,"Tenetur occaecati excepturi dolorem autem facilis eveniet. Voluptatum quidem quam ea.
Reprehenderit culpa nulla eum magni pariatur. Dignissimos nobis nam veritatis sit quas pariatur."
1587,Urvi Sami,"569, Dugar Zila, Bellary 820236",+917126924660,anika77@example.com,43790,Auto,Trisha Bahl,372847617,1983-01-18,Aligarh,"Eos magni officiis facilis quia. Non explicabo suscipit.
Impedit unde esse consequuntur. Aliquid sed sint placeat voluptatum.",40905.48,,,,Vihaan Wagle,Voluptates quibusdam iste. Quas iste unde adipisci commodi. Possimus unde necessitatibus quos consequuntur. Dolorem temporibus doloribus alias.,Approved,12318.96,No,2,No,No,,Denied,No Fraud Detected,"Consequatur fugit eligendi omnis aliquam aliquam voluptas.
Repellendus voluptatem laudantium eos dolores nostrum. Impedit excepturi voluptate aperiam."
2680,Parinaaz Baria,"84/452, Sura Zila, Kakinada 192944",+918390708107,jivikarau@example.net,68049,Health,Advik Karpe,7256994223,2004-05-19,Guntakal,"Modi nam veritatis.
Dignissimos sint debitis libero. Nulla numquam vero recusandae sint exercitationem quas eligendi. Repudiandae ut repudiandae commodi.",7855.93,3451,Commodi maiores voluptas quibusdam. Maiores id temporibus doloribus odio sequi amet. Perspiciatis odit exercitationem reprehenderit.,https://www.solanki.org/,Rati Kunda,Minima officia praesentium eaque. Harum ab occaecati adipisci perspiciatis ullam.,Denied,,No,1,,Yes,Ex dignissimos recusandae tempora tempore nesciunt. Aliquam possimus adipisci eum.,Approved,,Sint inventore ipsam quasi. Placeat ipsum fugit quos sed mollitia harum iure. Eos rem dolore ab laudantium magni reprehenderit.
3354,Heer Ravi,"63/448, Doshi, Mira-Bhayandar 530269",107253105,rausahil@example.net,58652,Health,Aarush Bala,+912200491407,1969-02-14,Hubli–Dharwad,Cum cupiditate ea voluptatem ipsum dolor nemo rerum. Recusandae voluptatum sed ad accusamus.,20028.01,,,http://www.vasa.biz/,Aarav Tank,"Repellat quae excepturi officia. Sequi veniam fugit nostrum enim delectus.
Quam nostrum placeat doloremque excepturi in voluptate vel. Voluptate odit sint quisquam optio.",Approved,26390.28,Yes,2,No,No,Voluptatum debitis animi. Et similique voluptatibus consectetur possimus. Commodi minus quidem ullam veniam modi laborum.,Under Review,Fraud Detected,Expedita eos atque dicta dicta. Iure nostrum laborum eveniet ipsam repellendus consequatur magni. Possimus quidem nostrum nam ab atque fugiat inventore.
9893,Nayantara Lata,"80/75, Zacharia, Sasaram-667209",+918384118429,varghesetiya@example.net,18900,Health,Anaya Rastogi,6549909203,1979-05-05,Tezpur,Magni quam fuga. Quam nihil praesentium nesciunt eaque hic facilis officiis. Enim fugiat nisi distinctio rem dolorum.,23384.79,,Asperiores dolorum quod tempora fuga nemo voluptatem. Magni molestiae officiis deserunt. Illo libero eligendi mollitia aspernatur totam iusto.,,Taimur Barman,"Aspernatur nemo quidem praesentium. In est libero quod fugit.
Molestiae optio maiores illo molestias ad. Totam facere dolore suscipit consectetur. Rerum sunt officia molestiae mollitia.",Denied,33087.55,,3 or more,No,Yes,Quod voluptatem ab accusamus. Perferendis corporis sint sequi quia itaque esse. Molestiae eveniet provident error.,Denied,,Neque itaque debitis in dolores. Ipsa ipsam autem odit repudiandae.
9838,Tejas Koshy,"31, Sarin Path, Ghaziabad-928858",9398973756,boramyra@example.net,63944,Health,Hiran Biswas,1555501713,1996-11-26,Pudukkottai,"Ratione reiciendis eum voluptate. Esse reprehenderit et a non.
Dolorem a inventore alias. Praesentium suscipit explicabo doloribus minus rerum ipsa.",43451.08,8203,Nostrum a nisi error. Ab nihil est impedit repellendus. Maiores reiciendis corporis voluptatem vel incidunt tempore qui.,,Himmat Gandhi,Nesciunt commodi laborum autem beatae vitae ex dicta. Odio provident iusto sit. Aspernatur ipsum ex culpa dignissimos.,Denied,,Yes,None,No,No,"Ipsum fugiat nisi perspiciatis impedit. Reprehenderit repellat quis adipisci molestias. Quia voluptatibus nihil.
Iste quo quis dolore.",Denied,Fraud Detected,Odio occaecati corrupti earum consequatur veniam atque dolorem. Animi dolor enim odio consectetur quaerat.
4446,Aarush Sachdev,"843, Walla Road, Bally 156591",5405553417,swamypiya@example.net,65194,Home,Tejas Dayal,+917313969712,2000-10-05,Kolkata,Pariatur eaque doloribus quos ea. Illum autem quae ipsum laudantium vitae reprehenderit. Accusamus repellat velit dignissimos. Iusto nulla laboriosam sint.,40843.05,7055,,,Rhea Baral,Assumenda tempora placeat fugit. Velit libero a facilis reprehenderit nam delectus. Ut nesciunt quos exercitationem nisi illum.,Denied,,No,3 or more,Yes,Yes,"Quam unde modi ducimus cupiditate.
Numquam ipsa veritatis necessitatibus fuga perspiciatis excepturi. Id non nobis officiis.",Under Review,Fraud Detected,Similique impedit nihil explicabo quasi. Cupiditate quia exercitationem tenetur est dolorum. Adipisci doloribus ex distinctio.
1002,Ivan Joshi,"27/35, Dhillon Circle, Surendranagar Dudhrej-704826",+919694214868,tejas21@example.org,62677,Health,Divit Ganguly,+910994020316,1970-06-16,Udaipur,Libero itaque modi cupiditate. Quaerat minus perspiciatis nulla atque. Vel dolor esse ea sed.,48257.75,8433,,,Nirvaan Chowdhury,Consequuntur autem esse sapiente. Quas mollitia magni natus rem suscipit. Quidem harum nesciunt quidem itaque officia.,Approved,6181.82,No,1,Yes,,,Approved,No Fraud Detected,Modi recusandae doloribus dolores tempore placeat nihil. Quo et ducimus perferendis quod veniam cupiditate. Minus eius repellendus magni libero quibusdam.
3040,Anaya Mallick,"89/03, Aurora Ganj, Aurangabad-660293",5415279344,akunda@example.net,37327,Health,Vivaan Jain,2629093899,1974-12-19,Bihar Sharif,Quo est enim earum nesciunt soluta repellendus. Enim quod repellendus. Consectetur exercitationem atque ea doloremque at hic.,15654.6,,,,Ela Gandhi,"Rem ipsam nisi tenetur dolores quas. Eos animi illum eius consectetur distinctio sed.
Repellendus est sed odit distinctio ab labore deleniti. Animi reiciendis voluptas tenetur necessitatibus.",Approved,23771.31,No,2,Yes,Yes,"Repudiandae delectus at. Vel vitae dolor debitis beatae magnam. Nisi a libero mollitia quos ab nisi.
Praesentium cumque quam earum modi repudiandae. Facere commodi eos inventore alias incidunt culpa.",Approved,No Fraud Detected,"Accusamus culpa ipsa rerum iste. Perferendis natus repellat recusandae voluptatum. Numquam alias illo veritatis vel dicta.
Quam minima fuga natus deleniti corrupti."
5107,Pihu Deshmukh,"45/24, Lal, Burhanpur-510672",4440747159,tthaman@example.net,21740,Health,Farhan Goda,+911108455027,1980-12-26,Pali,Nesciunt impedit dolore fuga tenetur. Recusandae inventore impedit assumenda nam esse commodi. Ducimus nostrum illo impedit in. Ex ab eveniet pariatur ratione.,21254.01,5959,,,Rania Bahl,Expedita vitae excepturi ut vel. Amet necessitatibus dolor ea ratione itaque. Doloribus optio nemo accusamus autem.,Under Investigation,30622.84,No,2,,No,,Approved,,Minus dolorem earum error facilis nostrum. Numquam expedita exercitationem libero. Et sequi distinctio ea dolor.
9121,Shanaya Chandra,"74/78, Kamdar Zila, Surat 860053",6976988018,mohanlalzacharia@example.net,71955,Auto,Vanya Shah,+913281467771,1966-10-10,Pudukkottai,Quibusdam consequuntur quod ipsum ratione doloribus neque. Aliquam nisi at excepturi.,22338,3173,Tempora eum quo voluptas error repudiandae. Unde ipsam veritatis numquam magnam provident. Non quae placeat aliquid perspiciatis.,,Romil Bahri,Tenetur nemo sapiente atque expedita corporis voluptatum. Earum aliquid reprehenderit voluptatibus. Earum temporibus suscipit voluptate facilis consequuntur dolor.,Approved,28055.85,Yes,3 or more,,Yes,,Approved,No Fraud Detected,Soluta laborum repudiandae quidem beatae esse. Tempora adipisci commodi voluptates quos. Molestiae ea totam ipsum nam quibusdam repudiandae deleniti.
2124,Samarth Sarna,"939, Chandra Nagar, Udaipur-778923",1548800675,aainasule@example.org,99455,Home,Diya Ranganathan,878731624,1992-11-13,Shivpuri,Commodi velit dolorem. Totam quo perspiciatis similique culpa omnis nesciunt. Ratione dicta ex repellendus vero.,21898.18,2221,"Odio dignissimos totam. Veritatis est expedita nostrum.
Magnam voluptatum officiis atque repellendus earum. Nam odit molestiae perspiciatis molestiae doloremque.",,Alisha Gupta,Laborum rem tempore. Reprehenderit aut similique rerum quasi temporibus nesciunt perspiciatis. Culpa tempore rem porro.,Under Investigation,46243.75,Yes,None,,Yes,Odit possimus esse neque molestiae. Quasi laborum dolor sequi iusto minima quo. Minus asperiores blanditiis facere quas.,Under Review,,"Molestiae blanditiis adipisci aspernatur labore. Mollitia quasi veniam minima error quos. Rem earum qui cumque distinctio.
Quas ea cumque neque ab. Occaecati modi eos nam animi."
6193,Badal Thaman,"74/076, Buch Road, Visakhapatnam 707361",8689824417,zarabalakrishnan@example.net,82780,Auto,Nayantara Bhalla,7757807360,1979-10-27,Dehri,Praesentium fugit nihil commodi magni tempore provident nulla. Laudantium cupiditate error temporibus deserunt.,49433.97,4604,"Repudiandae quas dolore consequuntur dicta quo totam. Perferendis molestias nam ex ipsa voluptas.
Fugiat aliquid cum. Facilis in provident hic dolor. Quo amet dicta quisquam.",http://sastry.org/,Akarsh Lad,"Enim esse tenetur id. At perspiciatis expedita sequi numquam dignissimos minus molestias. Cum fugiat commodi voluptatibus facilis quidem.
Amet dicta voluptas necessitatibus minus eaque.",Denied,,,None,,,,Denied,No Fraud Detected,Reprehenderit magnam consectetur rem voluptates. Ducimus amet iure enim fuga. Officia veritatis nihil nesciunt.
3851,Mishti Vaidya,"H.No. 50, Bhatt Chowk, Ambala-789822",+910483003872,shaan92@example.com,38387,Health,Badal Soman,+918940047214,1975-03-20,Udupi,Autem et vero reiciendis laborum. Sunt in vitae eveniet error quam est. Adipisci iusto quidem eveniet vero doloribus.,35768.85,2916,"Magnam autem tenetur beatae quos deserunt saepe officiis.
Eveniet dignissimos sed numquam. Eligendi eius iure eaque vero. Ab placeat necessitatibus inventore.",http://das.net/,Neysa Dhar,Inventore cupiditate cum saepe ea. Rerum tempore ipsum soluta. Cupiditate aperiam ullam adipisci itaque neque. Consequatur eaque praesentium pariatur corrupti voluptatibus.,Under Investigation,30279.95,,2,Yes,,"Sed consectetur fugiat dignissimos. Perferendis dicta deleniti necessitatibus ullam blanditiis placeat ad.
Quaerat commodi necessitatibus atque. Quibusdam ratione dicta commodi labore.",Approved,,"Molestias ut enim suscipit.
Sapiente rem accusamus quas vitae. Vitae labore delectus tenetur tenetur nam maxime. Tempore molestias ea mollitia magnam."
